"FIPS","date_partial_school_closed","date_all_school_closed","earliest_date_school_closed"
39091,"NA","2020-03-16",2020-03-16
39093,"NA","2020-03-17",2020-03-17
39095,"NA","2020-03-17",2020-03-17
39097,"NA","2020-03-16",2020-03-16
39099,"NA","2020-03-16",2020-03-16
39101,"NA","2020-03-16",2020-03-16
39103,"NA","2020-03-16",2020-03-16
39105,"2020-03-16","2020-03-17",2020-03-16
39107,"NA","2020-03-17",2020-03-17
39109,"NA","2020-03-16",2020-03-16
39111,"NA","2020-03-13",2020-03-13
39113,"NA","2020-03-16",2020-03-16
39115,"NA","2020-03-16",2020-03-16
39117,"2020-03-16","2020-03-17",2020-03-16
39119,"NA","2020-03-16",2020-03-16
39121,"NA","2020-03-16",2020-03-16
39123,"2020-03-16","2020-03-17",2020-03-16
39125,"2020-03-16","2020-03-17",2020-03-16
39127,"2020-03-13","2020-03-17",2020-03-13
39129,"NA","2020-03-13",2020-03-13
39131,"2020-03-13","2020-03-16",2020-03-13
39133,"NA","2020-03-17",2020-03-17
39135,"NA","2020-03-16",2020-03-16
39137,"NA","2020-03-16",2020-03-16
39139,"2020-03-16","2020-03-17",2020-03-16
39141,"NA","2020-03-16",2020-03-16
39143,"NA","2020-03-16",2020-03-16
39145,"NA","2020-03-16",2020-03-16
39147,"2020-03-16","2020-03-17",2020-03-16
39149,"2020-03-09","2020-03-17",2020-03-09
39151,"NA","2020-03-16",2020-03-16
39153,"2020-03-13","2020-03-16",2020-03-13
39155,"NA","2020-03-13",2020-03-13
39157,"NA","2020-03-16",2020-03-16
39159,"NA","2020-03-16",2020-03-16
39161,"NA","2020-03-16",2020-03-16
39163,"NA","2020-03-16",2020-03-16
39165,"NA","2020-03-13",2020-03-13
39167,"2020-03-09","2020-03-17",2020-03-09
39169,"NA","2020-03-16",2020-03-16
39171,"NA","2020-03-16",2020-03-16
39173,"NA","2020-03-16",2020-03-16
39175,"NA","2020-03-16",2020-03-16
13001,"NA","2020-03-16",2020-03-16
13003,"NA","2020-03-17",2020-03-17
13005,"NA","2020-03-16",2020-03-16
13007,"NA","2020-03-16",2020-03-16
13009,"NA","2020-03-17",2020-03-17
13011,"NA","2020-03-16",2020-03-16
13013,"NA","2020-03-16",2020-03-16
13015,"NA","2020-03-16",2020-03-16
13017,"NA","2020-03-16",2020-03-16
13019,"NA","2020-03-16",2020-03-16
13021,"NA","2020-03-18",2020-03-18
13023,"NA","2020-03-17",2020-03-17
13025,"NA","2020-03-17",2020-03-17
13027,"NA","2020-03-16",2020-03-16
13029,"NA","2020-03-18",2020-03-18
13031,"NA","2020-03-16",2020-03-16
13033,"NA","2020-03-19",2020-03-19
13035,"NA","2020-03-16",2020-03-16
13037,"NA","2020-03-16",2020-03-16
13039,"NA","2020-03-17",2020-03-17
